Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,City,Category,Sub_Category,Product_Name,Quantity,Base_Price,Discount,Sales,Profit,Profit_Margin_Pct,Ship_Mode,Payment_Mode,Rating
ORD-20241722,2024-01-01,2024-01-04,CUST-1139,Alex Wilson,Consumer,Central,Nashville,Technology,Phones,Google Pixel 8,2,699,0.1,1258.2,236.08,18.76,Standard Class,Debit Card,5
ORD-20241319,2024-01-02,2024-01-07,CUST-1104,Rohan Davis,Consumer,Central,Indianapolis,Office Supplies,Binders & Organizers,Cable Management Tray Kit,1,25,0.0,25.0,8.05,32.2,First Class,UPI / Instant Transfer,5
ORD-20241630,2024-01-02,2024-01-04,CUST-1219,Priya Mehta,Corporate,West,San Francisco,Furniture,Desks,Motorized Standing Desk 60x30,1,549,0.05,521.55,41.2,7.9,Standard Class,Debit Card,5
ORD-20240034,2024-01-02,2024-01-05,CUST-1139,Alex Wilson,Consumer,West,Denver,Technology,Laptops,Lenovo ThinkPad X1,2,1299,0.05,2468.1,607.14,24.6,Second Class,Credit Card,5
ORD-20240642,2024-01-02,2024-01-06,CUST-1247,Olivia Smith,Consumer,Central,St. Louis,Office Supplies,Stationery,Parker Fountain Pen Set,1,65,0.2,52.0,12.7,24.42,Second Class,Debit Card,5
ORD-20241448,2024-01-03,2024-01-05,CUST-1045,Arjun Patel,Consumer,West,Los Angeles,Technology,Phones,Google Pixel 8,1,699,0.2,559.2,55.73,9.97,Standard Class,Credit Card,5
ORD-20241664,2024-01-03,2024-01-06,CUST-1111,Rahul Singh,Consumer,North,Minneapolis,Office Supplies,Stationery,Parker Fountain Pen Set,1,65,0.0,65.0,25.37,39.03,Standard Class,Credit Card,5
ORD-20241370,2024-01-04,2024-01-08,CUST-1175,Priya Singh,Corporate,South,Houston,Furniture,Storage,3-Drawer Mobile Filing Cabinet,4,149,0.1,536.4,32.46,6.05,Standard Class,Debit Card,3
ORD-20240144,2024-01-04,2024-01-07,CUST-1149,Priya Taylor,Consumer,North,New York,Furniture,Storage,Steel Storage Credenza,1,279,0.3,195.3,-46.93,-24.03,First Class,Debit Card,5
ORD-20240712,2024-01-05,2024-01-06,CUST-1129,Emily Miller,Consumer,East,Pittsburgh,Furniture,Lighting,Ambient Floor Standing Lamp,8,119,0.0,952.0,201.71,21.19,First Class,Net Banking,4
ORD-20240275,2024-01-05,2024-01-08,CUST-1054,Alex Williams,Home Office,South,Austin,Technology,Smart Watches,Apple Watch Series 9,1,399,0.05,379.05,94.0,24.8,Standard Class,UPI / Instant Transfer,5
ORD-20240646,2024-01-05,2024-01-09,CUST-1173,Kavita Singh,Consumer,South,Houston,Office Supplies,Packaging Supplies,Heavy Duty Packing Tape 6-Pack,2,21,0.15,35.7,7.15,20.03,Standard Class,Debit Card,5
ORD-20240904,2024-01-06,2024-01-09,CUST-1105,Pooja Mehta,Home Office,Central,Nashville,Technology,Accessories,Logitech MX Master 3S Mouse,2,99,0.25,148.5,-1.83,-1.23,Second Class,UPI / Instant Transfer,5
ORD-20240094,2024-01-06,2024-01-10,CUST-1005,Rohan Taylor,Consumer,East,Washington D.C.,Technology,Smart Watches,Apple Watch Series 9,3,399,0.0,1197.0,397.07,33.17,Second Class,Credit Card,5
ORD-20241555,2024-01-06,2024-01-07,CUST-1125,Priya Verma,Consumer,Central,Nashville,Technology,Laptops,Lenovo ThinkPad X1,3,1299,0.0,3897.0,1284.31,32.96,Standard Class,Debit Card,5
ORD-20240069,2024-01-07,2024-01-09,CUST-1037,Olivia Deshmukh,Consumer,Central,Columbus,Technology,Laptops,MacBook Air M2,1,1199,0.05,1139.05,292.04,25.64,First Class,Credit Card,5
ORD-20241697,2024-01-09,2024-01-11,CUST-1150,Pooja Taylor,Consumer,North,Minneapolis,Furniture,Storage,Steel Storage Credenza,2,279,0.0,558.0,68.08,12.2,First Class,UPI / Instant Transfer,4
ORD-20240880,2024-01-09,2024-01-12,CUST-1176,Sophia Gupta,Consumer,South,Houston,Office Supplies,Stationery,Sharpie Highlighters Box,5,16,0.1,72.0,17.37,24.13,Second Class,Credit Card,5
ORD-20241152,2024-01-09,2024-01-13,CUST-1223,Jessica Johnson,Consumer,North,Boston,Technology,Accessories,Keychron K2 Mechanical Keyboard,1,89,0.0,89.0,28.31,31.81,Standard Class,Debit Card,4
